code,name,price,date
bj920496,许昌智能,6.44,2024-03-15
bj920504,博迅生物,16.91,2024-03-15
bj920505,九菱科技,31.78,2024-03-15
bj920508,殷图网联,14.22,2024-03-15
bj920509,同惠电子,27.66,2024-03-15
bj920510,丰光精密,32.76,2024-03-15
bj920519,万德股份,9.62,2024-03-15
bj920522,纳科诺尔,25.16,2024-03-15
bj920523,德瑞锂电,16.76,2024-03-15
bj920526,凯华材料,26.07,2024-03-15
bj920527,夜光明,13.95,2024-03-15
bj920533,骏创科技,22.05,2024-03-15
bj920541,铁大科技,9.51,2024-03-15
bj920547,无锡晶海,18.19,2024-03-15
bj920553,凯腾精工,6.62,2024-03-15
bj920556,雅达股份,6.97,2024-03-15
bj920564,天润科技,16.69,2024-03-15
bj920566,梓橦宫,9.86,2024-03-15
bj920570,坤博精工,25.69,2024-03-15
bj920571,国航远洋,8.4,2024-03-15
bj920575,*ST康乐,3.84,2024-03-15
bj920576,天力复合,63.38,2024-03-15
bj920578,巨能股份,23.75,2024-03-15
bj920579,机科股份,17.34,2024-03-15
bj920580,科创新材,11.2,2024-03-15
bj920592,华信永道,22.39,2024-03-15
bj920593,鼎智科技,33.38,2024-03-15
bj920599,同力股份,17.36,2024-03-15
bj920608,丰安股份,12.68,2024-03-15
bj920627,力王股份,15.9,2024-03-15
bj920634,新威凌,17.31,2024-03-15
bj920639,晨光电缆,6.33,2024-03-15
bj920640,富士达,33.67,2024-03-15
bj920641,格利尔,13.81,2024-03-15
bj920642,通易航天,11.82,2024-03-15
bj920651,天罡股份,19.49,2024-03-15
bj920656,海昇药业,14.02,2024-03-15
bj920662,方盛股份,24.91,2024-03-15
bj920663,明阳科技,14.06,2024-03-15
bj920665,科强股份,9.51,2024-03-15
bj920670,数字人,13.65,2024-03-15
bj920675,秉扬科技,7.76,2024-03-15
bj920679,前进科技,14.93,2024-03-15
bj920682,球冠电缆,6.12,2024-03-15
bj920685,新芝生物,10.42,2024-03-15
bj920689,克莱特,22.21,2024-03-15
bj920690,捷众科技,16.67,2024-03-15
bj920693,阿为特,29.4,2024-03-15
bj920694,中裕科技,13.91,2024-03-15
bj920699,海达尔,109.01,2024-03-15
bj920701,豪声电子,10.88,2024-03-15
bj920703,广厦环能,9.66,2024-03-15
bj920706,铁拓机械,16.65,2024-03-15
bj920717,瑞星股份,6.54,2024-03-15
bj920718,合肥高科,9.61,2024-03-15
bj920719,宁新新材,9.8,2024-03-15
bj920720,吉冈精密,10.89,2024-03-15
bj920725,惠丰钻石,99.1,2024-03-15
bj920726,朱老六,17.09,2024-03-15
bj920729,永顺生物,6.51,2024-03-15
bj920735,德源药业,26.0,2024-03-15
bj920748,路桥信息,24.05,2024-03-15
bj920751,惠同新材,20.8,2024-03-15
bj920753,天纺标,15.71,2024-03-15
bj920765,美之高,11.29,2024-03-15
bj920768,拾比佰,7.03,2024-03-15
bj920770,艾能聚,10.89,2024-03-15
bj920779,武汉蓝电,23.8,2024-03-15
bj920781,瑞奇智造,5.43,2024-03-15
bj920786,骑士乳业,6.23,2024-03-15
bj920790,联迪信息,28.53,2024-03-15
bj920792,东和新材,9.91,2024-03-15
bj920799,艾融软件,37.02,2024-03-15
bj920802,保丽洁,10.3,2024-03-15
bj920806,云星宇,10.13,2024-03-15
bj920807,奔朗新材,11.95,2024-03-15
bj920808,曙光数创,80.58,2024-03-15
bj920809,安达科技,9.13,2024-03-15
bj920810,春光智能,8.27,2024-03-15
bj920819,颖泰生物,2.75,2024-03-15
bj920821,则成电子,19.66,2024-03-15
bj920826,盖世食品,8.13,2024-03-15
bj920832,齐鲁华信,6.06,2024-03-15
bj920833,美心翼申,9.48,2024-03-15
bj920834,三维装备,9.41,2024-03-15
bj920837,华原股份,9.83,2024-03-15
bj920839,万通液压,29.57,2024-03-15
bj920855,浙江大农,11.57,2024-03-15
bj920856,浩淼科技,8.79,2024-03-15
bj920857,泓禧科技,13.95,2024-03-15
bj920866,绿亨科技,5.77,2024-03-15
bj920870,恒进感应,13.04,2024-03-15
bj920871,派特尔,10.99,2024-03-15
bj920873,中设咨询,7.16,2024-03-15
bj920876,慧为智能,17.5,2024-03-15
bj920879,基康技术,13.97,2024-03-15
bj920885,星辰科技,13.17,2024-03-15
bj920892,广咨国际,11.35,2024-03-15
bj920895,花溪科技,11.88,2024-03-15
bj920896,旺成科技,13.43,2024-03-15
bj920906,舜宇精工,18.68,2024-03-15
bj920914,远航精密,18.98,2024-03-15
bj920924,广脉科技,14.83,2024-03-15
bj920925,锦好医疗,10.96,2024-03-15
bj920926,鸿智科技,10.05,2024-03-15
bj920931,无锡鼎邦,9.55,2024-03-15
bj920932,科达自控,14.22,2024-03-15
bj920942,恒立钻具,18.27,2024-03-15
bj920943,优机股份,13.49,2024-03-15
bj920946,森萱医药,10.03,2024-03-15
bj920950,迅安科技,12.47,2024-03-15
bj920953,国子软件,22.89,2024-03-15
bj920957,汉维科技,8.73,2024-03-15
bj920961,创远信科,25.9,2024-03-15
bj920964,润农节水,4.44,2024-03-15
bj920970,大禹生物,6.06,2024-03-15
bj920971,天马新材,37.81,2024-03-15
bj920974,凯大催化,6.18,2024-03-15
bj920976,视声智能,16.85,2024-03-15
bj920978,开特股份,23.3,2024-03-15
bj920981,晶赛科技,46.44,2024-03-15
bj920982,锦波生物,127.66,2024-03-15
bj920985,海泰新能,4.88,2024-03-15
bj920992,中科美菱,11.95,2024-03-15
sh600000,浦发银行,8.69,2024-03-15
sh600004,白云机场,7.51,2024-03-15
sh600006,东风股份,5.31,2024-03-15
sh600007,中国国贸,19.05,2024-03-15
sh600008,首创环保,2.79,2024-03-15
sh600009,上海机场,22.92,2024-03-15
sh600010,包钢股份,2.25,2024-03-15
sh600011,XD华能国,7.1,2024-03-15
sh600012,皖通高速,16.31,2024-03-15
sh600015,华夏银行,6.66,2024-03-15
sh600016,民生银行,3.28,2024-03-15
sh600017,日照港,2.6,2024-03-15
sh600018,上港集团,4.86,2024-03-15
sh600019,宝钢股份,5.59,2024-03-15
sh600020,中原高速,3.76,2024-03-15
sh600021,上海电力,14.95,2024-03-15
sh600022,山东钢铁,1.27,2024-03-15
sh600023,浙能电力,5.47,2024-03-15
sh600025,华能水电,9.19,2024-03-15
sh600026,中远海能,17.37,2024-03-15
sh600027,华电国际,4.54,2024-03-15
sh600028,中国石化,4.7,2024-03-15
sh600029,南方航空,5.21,2024-03-15
sh600030,中信证券,28.95,2024-03-15
sh600031,三一重工,18.56,2024-03-15
sh600032,浙江新能,7.11,2024-03-15
sh600033,福建高速,3.38,2024-03-15
sh600035,楚天高速,3.45,2024-03-15
sh600036,招商银行,36.83,2024-03-15
sh600037,歌华有线,6.33,2024-03-15
sh600038,中直股份,26.21,2024-03-15
sh600039,四川路桥,8.45,2024-03-15
sh600048,保利发展,4.68,2024-03-15
sh600050,中国联通,4.07,2024-03-15
sh600051,宁波联合,6.03,2024-03-15
sh600052,东望时代,3.85,2024-03-15
sh600053,*ST九鼎,8.54,2024-03-15
sh600054,黄山旅游,10.99,2024-03-15
sh600055,万东医疗,10.85,2024-03-15
sh600056,中国医药,9.12,2024-03-15
sh600057,厦门象屿,5.65,2024-03-15
sh600058,五矿发展,10.75,2024-03-15
sh600059,古越龙山,7.6,2024-03-15
sh600060,海信视像,27.52,2024-03-15
sh600061,国投资本,6.57,2024-03-15
sh600062,华润双鹤,17.07,2024-03-15
sh600063,皖维高新,7.63,2024-03-15
sh600064,南京高科,7.34,2024-03-15
sh600066,宇通客车,28.9,2024-03-15
sh600067,冠城新材,2.92,2024-03-15
sh600071,凤凰光学,16.94,2024-03-15
sh600072,中船科技,8.86,2024-03-15
sh600073,光明肉业,4.94,2024-03-15
sh600075,新疆天业,4.25,2024-03-15
sh600076,康欣新材,3.42,2024-03-15
sh600078,澄星股份,12.71,2024-03-15
sh600079,ST人福,17.77,2024-03-15
sh600080,ST金花,5.0,2024-03-15
sh600081,东风科技,9.75,2024-03-15
sh600082,ST海泰,2.95,2024-03-15
sh600084,*ST尼雅,4.24,2024-03-15
sh600085,同仁堂,23.36,2024-03-15
sh600088,中视传媒,11.27,2024-03-15
sh600089,特变电工,22.01,2024-03-15
sh600094,大名城,3.48,2024-03-15
sh600095,湘财股份,7.79,2024-03-15
sh600096,云天化,30.6,2024-03-15
sh600097,开创国际,8.21,2024-03-15
sh600098,广州发展,6.1,2024-03-15
sh600099,林海股份,8.61,2024-03-15
sh600100,同方股份,6.79,2024-03-15
sh600101,明星电力,8.23,2024-03-15
sh600103,青山纸业,3.09,2024-03-15
sh600104,上汽集团,10.11,2024-03-15
sh600105,永鼎股份,54.53,2024-03-15
sh600106,重庆路桥,4.61,2024-03-15
sh600107,*ST尔雅,6.21,2024-03-15
sh600108,亚盛集团,3.12,2024-03-15
sh600109,国金证券,8.91,2024-03-15
sh600110,诺德股份,15.75,2024-03-15
sh600111,北方稀土,48.57,2024-03-15
sh600113,浙江东日,34.4,2024-03-15
sh600114,东睦股份,37.73,2024-03-15
sh600115,中国东航,3.8,2024-03-15
sh600116,三峡水利,5.72,2024-03-15
sh600117,西宁特钢,2.14,2024-03-15
sh600118,中国卫星,86.3,2024-03-15
sh600119,*ST长投,4.88,2024-03-15
sh600120,浙江东方,4.41,2024-03-15
sh600121,郑州煤电,3.66,2024-03-15
sh600123,兰花科创,5.74,2024-03-15
sh600125,铁龙物流,5.27,2024-03-15
sh600126,杭钢股份,6.05,2024-03-15
sh600127,金健米业,5.39,2024-03-15
sh600128,苏豪弘业,7.95,2024-03-15
sh600129,太极集团,14.09,2024-03-15
sh600130,波导股份,4.35,2024-03-15
sh600131,国网信通,14.56,2024-03-15
sh600132,重庆啤酒,42.44,2024-03-15
sh600133,东湖高新,7.89,2024-03-15
sh600135,乐凯胶片,8.0,2024-03-15
sh600136,ST明诚,1.46,2024-03-15
sh600137,浪莎股份,17.4,2024-03-15
sh600138,中青旅,6.79,2024-03-15
sh600141,兴发集团,39.89,2024-03-15
sh600143,金发科技,17.01,2024-03-15
sh600148,长春一东,15.52,2024-03-15
sh600149,廊坊发展,4.76,2024-03-15
sh600150,中国船舶,37.15,2024-03-15
sh600151,航天机电,11.3,2024-03-15
sh600152,维科技术,9.34,2024-03-15
sh600153,建发股份,8.22,2024-03-15
sh600155,华创云信,5.67,2024-03-15
sh600156,华升股份,9.52,2024-03-15
sh600157,永泰能源,1.57,2024-03-15
sh600158,中体产业,6.8,2024-03-15
sh600159,大龙地产,2.31,2024-03-15
sh600160,巨化股份,49.35,2024-03-15
